R_stu,I_stu,A_stu,S_stu,E_stu,C_stu,R_voc,I_voc,A_voc,S_voc,E_voc,C_,Hitrate,Firstcodepercentage,Twocodespercentage,Decliningrate,Delayrate,StudySuspensionrate,TotalSuspensionrate,Dropoutrate,Dropoutrate_interest,dropoutrateduetointerest,salaryafter3yr_00schyr_master,salaryafter3yr_00schyr_bachelor,emplorateafter3yr_00schyr_master,emplorateafter3yr_00schyr_bachelor,emplorateGrowthratebysch,salarychangesbysch,emplorateGrowthratebysyr,salarychangesbyyr,salary_mas_vs_bach,emplorate_mas_vs_bach
1,1,0,1,0,0,1,0,0,0,1,0,3,0.43,0.29,-0.140440598,0.013793103,0.021352313,0.053380783,0.03030303,0.024793388,0.008264463,35701,27849,0.9273,0.8438,0.0013,-3469.2,0.038,1952,1.281949083,1.098957099
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.159190745,0.015486726,0.061904762,0.2,0.055062167,0.046181172,0.005328597,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,-0.233393423,0.039007092,0.019672838,0.046433288,0.033018868,0.028301887,0.009433962,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
1,1,0,0,0,0,1,1,0,0,0,0,6,0.5,0.3,-0.117724868,0.037037037,0.02513156,0.071078431,0.035087719,0.028070175,0.003508772,41565,30190,0.8765,0.8037,0.0493,854.5,0.0189,3952,1.376780391,1.090581063
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.158678529,0.019230769,0.030185759,0.095201238,0.041029767,0.037007241,0.008849558,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.48,0.44,-0.161611439,0.032352941,0.045676011,0.130431052,0.031758327,0.03020914,0.00697134,52645,32010,0.9564,0.9041,0.0041,-581,0.0112,5193,1.644642299,1.057847583
0,0,1,1,1,0,0,0,1,1,0,0,5,0.36,0.27,-0.02264953,0.061764706,0.015625,0.072443182,0.048295455,0.039772727,0.002840909,48323,32744,0.8476,0.8029,-0.0023,-2966,0.0254,2259,1.475781823,1.055673185
0,0,0,0,1,1,0,0,0,0,1,1,6,0.36,0.36,-0.101185771,0.021084337,0.019809322,0.053813559,0.023300971,0.021359223,0.011650485,47891,35605,0.9136,0.8507,-0.0288,3054.75,0.0033,4175,1.345063896,1.073939109
1,1,0,0,0,1,0,1,0,0,0,1,5,0.45,0.25,-0.089577382,0.051339286,0.030466157,0.080964064,0.033200531,0.030544489,0.01062417,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
1,1,0,0,0,0,1,1,0,0,0,0,6,0.64,0.55,-0.172871612,0.010178117,0.017076874,0.072708581,0.034343434,0.028282828,0.002020202,44064,28970,0.9532,0.8765,-0.0296,4588.15,0.0466,4716,1.521021747,1.087507131
1,1,0,0,0,0,1,1,0,0,0,0,6,0.5,0.5,-0.142325887,0.01984127,0.033333333,0.086868687,0.03342246,0.029411765,0.00802139,42666,33459,0.9286,0.8452,-0.0062,-5787.67,0.0273,-11630,1.275172599,1.09867487
1,1,0,0,0,0,1,0,0,0,1,1,3,0.43,0.29,-0.204217719,0.031666667,0.042158516,0.087689713,0.022792023,0.018993352,0.002849003,42716,31152,0.9369,0.8844,0.0578,1762.8,0.0017,3280,1.371212121,1.05936228
1,0,0,0,1,1,0,0,0,0,1,1,5,0.4,0.33,-0.205953569,0.016574586,0.034946237,0.079301075,0.029574861,0.025878004,0.009242144,56009,30596,0.9583,0.8867,-0.0784,3774,0.0565,4352,1.830598771,1.080748844
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.011585328,0.133971292,0.048638132,0.083657588,0.023346304,0.015564202,0,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.25,-0.137453482,0.016627078,0.052631579,0.096889952,0.02118003,0.012102874,0,39621,28972,0.9083,0.8297,0.0179,-5907.25,-0.0086,3662,1.367561784,1.094733036
1,1,0,0,0,0,1,1,0,0,0,0,6,0.57,0.57,-0.24409204,0.01793722,0.022244986,0.047613628,0.014705882,0.010695187,0,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.6,0.6,-0.167714951,0,0.041330645,0.070564516,0.016871166,0.015337423,0,60601,34097,0.9663,0.8288,0.0019,3008.25,0.0119,6024,1.777311787,1.16590251
0,0,1,1,1,0,0,0,1,0,1,0,5,0.3,0.2,-0.122602089,0.047120419,0.02037037,0.035185185,0.011976048,0.005988024,0,39888,29400,0.9462,0.8884,-0.039,7959,0.0576,2615,1.356734694,1.065060783
